"산업분류(1)","규모별(1)",2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09
"산업분류(1)","규모별(1)",전체근로일수 (일),상용근로일수 (일),임시일용근로일수 (일),전체근로시간 (시간),상용총근로시간 (시간),상용소정실근로시간 (시간),상용초과근로시간 (시간),임시일용근로시간 (시간),전체임금총액 (원),상용임금총액 (원),상용정액급여 (원),상용초과급여 (원),상용특별급여 (원),임시일용임금총액 (원)
"G.도매 및 소매업(45~47)"," -5인이상",21.1,21.5,12.4,170.5,173.9,168.4,5.5,89.0,4880859,5025783,4235336,162856,627592,1444929
"G.도매 및 소매업(45~47)"," -10인이상",21.1,21.4,13.1,171.4,173.9,167.7,6.2,97.4,5101773,5214658,4300476,191437,722746,1761783
"G.도매 및 소매업(45~47)"," -30인이상",20.9,21.1,15.2,170.1,172.3,165.4,6.9,116.8,5365050,5516779,4610089,247624,659066,1668243
"G.도매 및 소매업(45~47)","-1~9인",21.0,22.0,13.4,163.1,171.8,170.1,1.8,92.9,3379903,3642250,3325150,40846,276254,1275560
"G.도매 및 소매업(45~47)","-1~29인",21.2,21.9,13.0,165.8,173.0,170.1,2.8,90.4,3764350,3997797,3504345,65678,427774,1326633
"G.도매 및 소매업(45~47)"," -1~299인",21.1,21.8,13.2,166.6,172.8,169.2,3.6,92.2,4010964,4233342,3671887,100683,460772,1352732
"G.도매 및 소매업(45~47)"," -5~299인",21.2,21.6,11.9,170.5,174.1,168.7,5.3,83.6,4715459,4852099,4101124,150326,600650,1399045
"G.도매 및 소매업(45~47)","1~4인",21.0,22.1,13.8,160.5,170.7,170.0,0.7,96.2,2905305,3153545,2922825,14051,216670,1331623
"G.도매 및 소매업(45~47)","5~9인",21.1,21.8,11.4,168.2,174.0,170.2,3.8,77.7,4336992,4547477,4070376,90478,386623,1017195
"G.도매 및 소매업(45~47)","10~29인",21.5,21.8,9.1,172.8,175.7,170.3,5.4,60.9,4791171,4863593,3940704,126147,796742,1937561
